generation,best_fitness,avg_fitness,worst_fitness
0,40.0,35.23,30.0
1,41.0,37.06,31.0
2,42.0,37.94,34.0
3,42.0,38.55,30.0
4,42.0,38.99,34.0
5,42.0,39.34,33.0
6,42.0,39.94,34.0
7,43.0,40.1,36.0
8,43.0,40.58,36.0
9,43.0,40.94,37.0
10,43.0,41.02,37.0
11,44.0,41.68,36.0
12,44.0,42.11,37.0
13,44.0,42.44,39.0
14,44.0,42.88,39.0
15,44.0,43.31,40.0
16,44.0,43.87,40.0
17,44.0,43.86,40.0
18,44.0,43.94,42.0
19,44.0,43.89,41.0
20,44.0,43.92,40.0
21,44.0,43.86,40.0
22,44.0,43.9,40.0
23,44.0,43.92,41.0
24,44.0,43.98,43.0
25,44.0,43.88,42.0
26,44.0,43.87,41.0
27,44.0,43.97,43.0
28,44.0,43.93,40.0
29,44.0,43.96,42.0
30,44.0,43.85,41.0
31,44.0,43.97,42.0
32,44.0,43.98,42.0
33,44.0,43.95,41.0
34,44.0,43.91,40.0
35,44.0,43.92,41.0
36,44.0,43.95,41.0
37,44.0,43.89,41.0
38,44.0,43.96,41.0
39,44.0,43.83,40.0
40,44.0,43.87,40.0
41,44.0,43.87,40.0
42,44.0,43.89,41.0
43,44.0,43.85,40.0
44,44.0,43.87,40.0
45,44.0,43.92,41.0
46,44.0,43.92,41.0
47,44.0,43.86,41.0
48,44.0,43.88,40.0
49,44.0,43.96,42.0
50,44.0,43.94,41.0
51,44.0,43.88,41.0
52,44.0,43.81,40.0
53,44.0,43.96,40.0
54,44.0,43.86,41.0
55,44.0,43.98,42.0
56,44.0,43.88,40.0
57,44.0,43.87,40.0
58,44.0,43.98,43.0
59,44.0,43.97,42.0
60,44.0,43.91,42.0
61,44.0,43.74,40.0
62,44.0,43.89,41.0
63,44.0,43.92,40.0
64,44.0,43.82,40.0
65,44.0,43.78,40.0
66,44.0,43.95,42.0
67,44.0,43.94,42.0
68,44.0,43.96,42.0
69,44.0,43.87,41.0
70,44.0,43.89,40.0
71,44.0,43.85,40.0
72,44.0,43.9,40.0
73,44.0,43.93,41.0
74,44.0,43.93,42.0
75,44.0,43.77,40.0
76,44.0,43.93,42.0
77,44.0,43.88,41.0
78,44.0,43.86,40.0
79,44.0,43.82,40.0
80,44.0,43.84,40.0
81,44.0,43.9,40.0
82,44.0,43.84,40.0
83,44.0,43.9,40.0
84,44.0,43.98,42.0
85,44.0,43.85,40.0
86,44.0,43.82,40.0
87,44.0,43.87,40.0
88,44.0,43.92,40.0
89,44.0,43.94,42.0
90,44.0,43.93,41.0
91,44.0,43.92,40.0
92,44.0,43.85,40.0
93,44.0,43.83,40.0
94,44.0,43.92,41.0
95,44.0,43.89,41.0
96,44.0,43.88,41.0
97,44.0,43.96,41.0
98,44.0,43.95,42.0
99,44.0,43.84,40.0
100,44.0,43.89,40.0
101,44.0,43.81,40.0
102,44.0,43.91,41.0
103,44.0,43.94,42.0
104,44.0,43.88,41.0
105,44.0,43.91,40.0
106,44.0,43.95,41.0
107,44.0,43.88,41.0
108,44.0,43.92,40.0
109,44.0,43.92,40.0
110,44.0,43.92,41.0
111,44.0,43.92,42.0
112,44.0,43.94,41.0
113,44.0,43.86,40.0
114,44.0,43.9,40.0
115,44.0,43.89,40.0
116,44.0,43.85,41.0
117,44.0,43.87,41.0
118,44.0,43.91,41.0
119,44.0,43.93,40.0
120,44.0,43.9,41.0
121,44.0,43.89,40.0
122,44.0,43.99,43.0
123,44.0,43.84,40.0
124,44.0,43.88,40.0
125,44.0,43.91,41.0
126,44.0,43.91,41.0
127,44.0,43.92,40.0
128,44.0,43.9,40.0
129,44.0,43.93,41.0
130,44.0,43.98,43.0
131,44.0,43.94,40.0
132,44.0,43.92,42.0
133,44.0,43.81,40.0
134,44.0,43.92,41.0
135,44.0,43.92,42.0
136,44.0,43.87,40.0
137,44.0,43.87,41.0
138,44.0,43.95,42.0
139,44.0,43.93,42.0
140,44.0,43.89,41.0
141,44.0,43.92,40.0
142,44.0,43.96,42.0
143,44.0,43.79,40.0
144,44.0,44.0,44.0
145,44.0,43.9,40.0
146,44.0,43.82,40.0
147,44.0,43.87,40.0
148,44.0,44.0,44.0
149,44.0,43.92,40.0
150,44.0,43.84,40.0
151,44.0,43.86,41.0
152,44.0,43.89,40.0
153,44.0,43.96,42.0
154,44.0,43.82,40.0
155,44.0,43.87,41.0
156,44.0,43.94,40.0
157,44.0,43.9,42.0
158,44.0,43.88,41.0
159,44.0,43.9,41.0
160,44.0,43.91,42.0
161,44.0,43.86,40.0
162,44.0,43.91,41.0
163,44.0,43.92,41.0
164,44.0,43.92,41.0
165,44.0,43.88,40.0
166,44.0,43.96,42.0
167,44.0,43.88,41.0
168,44.0,43.82,40.0
169,44.0,43.94,41.0
170,44.0,43.96,42.0
171,44.0,43.95,41.0
172,44.0,43.89,41.0
173,44.0,43.84,40.0
174,44.0,43.94,40.0
175,44.0,43.87,40.0
176,44.0,43.89,41.0
177,44.0,43.86,40.0
178,44.0,43.88,40.0
179,44.0,43.95,40.0
180,44.0,43.95,42.0
181,44.0,43.97,41.0
182,44.0,43.88,41.0
183,44.0,43.93,40.0
184,44.0,43.88,41.0
185,44.0,43.89,41.0
186,44.0,43.94,40.0
187,44.0,43.92,41.0
188,44.0,43.89,40.0
189,44.0,43.84,40.0
190,44.0,43.86,40.0
191,44.0,43.91,41.0
192,44.0,43.91,41.0
193,44.0,43.87,41.0
194,44.0,43.9,40.0
195,44.0,43.92,41.0
196,44.0,43.84,41.0
197,44.0,43.95,42.0
198,44.0,43.94,41.0
199,44.0,43.85,41.0
200,44.0,43.89,41.0
201,44.0,43.89,41.0
202,44.0,43.97,42.0
203,44.0,43.94,41.0
204,44.0,43.95,41.0
205,44.0,43.85,40.0
206,44.0,43.91,42.0
207,44.0,43.76,40.0
208,44.0,43.9,40.0
209,44.0,43.9,40.0
210,44.0,43.78,40.0
211,44.0,43.83,40.0
212,44.0,43.77,40.0
213,44.0,43.96,42.0
214,44.0,43.9,42.0
215,44.0,43.91,40.0
216,44.0,43.82,40.0
217,44.0,43.89,41.0
218,44.0,43.81,40.0
219,44.0,43.96,41.0
220,44.0,43.79,40.0
221,44.0,43.87,40.0
222,44.0,43.79,41.0
223,44.0,43.92,41.0
224,44.0,43.95,42.0
225,44.0,43.84,41.0
226,44.0,43.85,40.0
227,44.0,43.95,42.0
228,44.0,43.91,41.0
229,44.0,43.91,40.0
230,44.0,43.88,41.0
231,44.0,43.94,40.0
232,44.0,43.92,40.0
